year,plot,plotLoc,AMFInoc,biochar,block,mass_8mm,mass_4mm,mass_2mm,mass_1mm,mass_0-5mm,mass_0-25mm,mass_fine,totalMass,perc_8mm,perc_4mm,perc_2mm,perc_1mm,perc_0-5mm,perc_0-25mm,perc_fine
2014,17,Ring,Y,H,3,20.34,19.967,20.677,20.08,14.741,9.322,14.905,120.032,0.169454812,0.166347307,0.172262397,0.167288723,0.122808918,0.077662623,0.12417522
2014,18,Center,Y,N,3,8.924,18.139,18.217,18.002,13.313,8.736,16.933,102.264,0.087264335,0.177374247,0.178136979,0.176034577,0.130182664,0.085425956,0.165581241
2014,18,Ring,Y,N,3,20.102,27.101,23.514,23.014,17.429,11.566,20.259,142.985,0.140588174,0.189537364,0.164450817,0.160953946,0.121893905,0.080889604,0.141686191
2014,19,Center,Y,N,4,12.909,20.923,21.956,21.187,15.11,10.795,19.142,122.022,0.105792398,0.171469079,0.179934766,0.173632624,0.123830129,0.088467653,0.156873351
2014,19,Ring,Y,N,4,9.244,18.735,20.258,22.206,16.486,10.953,18.568,116.45,0.079381709,0.1608845,0.173963074,0.190691284,0.14157149,0.094057535,0.159450408
2014,20,Center,Y,L,4,15.904,12.594,15.522,16.347,12.501,7.745,11.694,92.307,0.172294626,0.136436023,0.168156261,0.177093828,0.135428516,0.083904796,0.12668595
2014,20,Ring,Y,L,4,7.438,18.137,17.07,18.771,14.508,10.202,18.661,104.787,0.070982087,0.173084447,0.162901887,0.179134816,0.138452289,0.097359405,0.178085068
2014,21,Center,N,N,4,12.901,15.972,17.859,20.714,16.621,11.127,13.355,108.549,0.118849552,0.147140923,0.164524777,0.190826263,0.153119789,0.102506702,0.123031995
2014,21,Ring,N,N,4,12.499,22.672,23.916,23.565,17.195,10.888,14.722,125.457,0.099627761,0.180715305,0.190631053,0.187833282,0.137058913,0.086786708,0.117346979
2014,22,Center,N,L,4,9.238,21.338,18.84,19.03,14.312,9.194,14.519,106.471,0.08676541,0.20041138,0.176949592,0.178734115,0.13442158,0.086352152,0.136365771
2014,22,Ring,N,L,4,12.719,17.993,22.59,22.14,16.017,9.814,11.282,112.555,0.113002532,0.159859624,0.200701879,0.196703834,0.142303763,0.087192928,0.10023544
2014,23,Center,N,H,4,12.804,18.996,20.951,20.806,14.842,9.005,11.591,108.995,0.117473279,0.174283224,0.192219827,0.19088949,0.136171384,0.082618469,0.106344328
